tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
870649,AHMED ABDULKARIM KADO AL TAHAN,2022,Breast cancer detection in x-ray images using feature pyramids and CNN algorithm<br><span style='font-style: italic';>Özellik piramitleri ve CNN algoritması kullanarak röntgen görüntülerinde meme kanseri tespiti,Altınbaş Üniversitesi,Tıpta Uzmanlık,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control," onclick=tezDetay('_IePVE1utdfID07DS9-OOw','X4NJnIUfCym724Jdn6c8rA')"
667353,ALAA HAMEED FAHAD,2020,Stand alone PV fade water station remotesensing and control using picmicrocontroller<br><span style='font-style: italic';>,Altınbaş Üniversitesi,Tıpta Uzmanlık,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering," onclick=tezDetay('b2ZsHoNNCcSndN4QWR7UXg','yca8SS1MWevnsUboW-qCkA')"
